Bids for ITD Campus,X.1,Bid amount,X.2
"Hawkins, The Pacific Cos., FJ Management",,51750000,
"Whitewater Boise, LLC",,45000000,
LPC CI LLC,,44000000,
Ball Ventures Ahlquist,,42700000,
Thompson Thrift,,32582880,
Toll Brothers,,30150000,
Boise Hunter Homes,,26000000,
Tomlinson & Associates,,15000000,
Grossman Properties,,6000000,
