UNOFFICIAL ELECTION RESULTS
LATAH
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Deary 19","United States President","Shiva Ayyadurai","0","0.00%"
"Deary 19","United States President","Claudia De la Cruz","3","0.00%"
"Deary 19","United States President","Robert F Kennedy Jr.","6","0.00%"
"Deary 19","United States President","Jill Stein","2","0.00%"
"Deary 19","United States President","Randall Terry","2","0.00%"
"Deary 19","United States Representative District 1","Brendan J. Gomez","15","0.00%"
"Deary 19","United States Representative District 1","Kaylee Peterson","147","0.00%"
"Deary 19","United States Representative District 1","Matt Loesby","13","0.00%"
"Deary 19","United States Representative District 1","Russ Fulcher","660","0.00%"
"Deary 19","State Senator District 6","Julia Parker","229","0.00%"
"Deary 19","State Senator District 6","Dan Foreman","622","0.00%"
"Deary 19","State Representative District 6 Seat A","Trish Carter-Goodheart","137","0.00%"
"Deary 19","State Representative District 6 Seat A","Lori McCann","715","0.00%"
"Deary 19","State Representative District 6 Seat B","Kathy Dawes","183","0.00%"
"Deary 19","State Representative District 6 Seat B","Brandon Mitchell","672","0.00%"
"Deary 19","County Commissioner District 1","Mark Thorne","144","0.00%"
"Deary 19","County Commissioner District 1","Tony Johnson","706","0.00%"
"Deary 19","County Commissioner District 3","John Bohman","206","0.00%"
"Deary 19","County Commissioner District 3","Jason Stooks","640","0.00%"
"Deary 19","County Sheriff","Richie Skiles","681","0.00%"
"Deary 19","County Sheriff","James Fry Jr.","168","0.00%"
"Deary 19","County Sheriff","Christopher Middleton","19","0.00%"
"Deary 19","County Prosecuting Attorney","W.W. Bill Thompson","578","0.00%"
"Deary 19","Retain Magistrate Judge Megan Marshall","YES","589","0.00%"
"Deary 19","Retain Magistrate Judge Megan Marshall","NO","129","0.00%"
"Deary 19","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","593","0.00%"
"Deary 19","Latah Soil & Water Dist Supervisors","David Huggins","596","0.00%"
"Deary 19","Latah Soil & Water Dist Supervisors","Kendall Kahl","578","0.00%"
"Deary 19","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","586","0.00%"
"Deary 19","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","264","0.00%"
"Deary 19","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","165","0.00%"
"Deary 19","Proposition 1","NO, make no change to the current primary and general election voting system.","692","0.00%"
"Farmington 20","United States President","Joel Skousen","0","0.00%"
"Farmington 20","United States President","Kamala D. Harris","0","0.00%"
"Farmington 20","United States President","Chase Oliver","0","0.00%"
"Farmington 20","United States President","Donald J. Trump","1","0.00%"
"Farmington 20","United States President","Shiva Ayyadurai","0","0.00%"
"Farmington 20","United States President","Claudia De la Cruz","0","0.00%"
"Farmington 20","United States President","Robert F Kennedy Jr.","0","0.00%"
"Farmington 20","United States President","Jill Stein","0","0.00%"
"Farmington 20","United States President","Randall Terry","0","0.00%"
"Farmington 20","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"Farmington 20","United States Representative District 1","Kaylee Peterson","0","0.00%"
"Farmington 20","United States Representative District 1","Matt Loesby","0","0.00%"
"Farmington 20","United States Representative District 1","Russ Fulcher","1","0.00%"
"Farmington 20","State Senator District 6","Julia Parker","0","0.00%"
"Farmington 20","State Senator District 6","Dan Foreman","1","0.00%"
