"docketentry_id","docketentry_entry_number","docketentry_date_filed","docketentry_time_filed","docketentry_pacer_sequence_number","docketentry_recap_sequence_number","docketentry_description","recapdocument_id","recapdocument_document_type","recapdocument_description","recapdocument_acms_document_guid","recapdocument_date_upload","recapdocument_document_number","recapdocument_attachment_number","recapdocument_pacer_doc_id","recapdocument_is_free_on_pacer","recapdocument_is_available","recapdocument_is_sealed","recapdocument_sha1","recapdocument_page_count","recapdocument_file_size","recapdocument_filepath_local","recapdocument_filepath_ia","recapdocument_ocr_status"
"415644003","14","2025-02-05","","","2025-02-05.001","DOCKET ENTRY ORDER approving (Dkt. 11 & 12 ) Motion for Pro Hac Vice Appearance of attorney Michael J Grygiel,Daniela del Rosario Wertheimer for Melisa Cull, Barbara Ersland, Hachette Book Group, Inc.,HarperCollinss Publishers LLC,J.E.,Olivia Lanzara,Michael J Grygiel, David Levithan,Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, for Sourcebooks, LLC, The Authors Guild,The Donnelly Public Library District. Per Local Rule 83.4(e), out-of-state counsel shall immediately register for ECF. (Notice sent to CM/ECF Registration Clerk); (caused to be mailed to non Registered Participants at the addresses listed on the Notice of Electronic Filing (NEF) by (lm)","429351185","PACER Document","Order on Motion for Pro Hac Vice Appearance","","","14","","","","","","","","","","",""
"415837635","15","2025-02-06","","","2025-02-06.001","DOCKET ENTRY ORDER REASSIGNING CASE: Due to a related action, IT IS HEREBY ORDERED that this matter is transferred or reassigned to Judge Amanda K. Brailsford. Signed by Judge David C. Nye. (caused to be mailed to non Registered Participants at the addresses listed on the Notice of Electronic Filing (NEF) by (ab)","429550991","PACER Document","","","","15","","","","","","","","","","",""
"415837636","","2025-02-06","","","2025-02-06.002","DOCKET ENTRY NOTICE of Case Number Change, Case reassigned to Judge Amanda K Brailsford for all further proceedings. Judge David C. Nye no longer assigned to case. Please use this case number on all future pleadings, 1:25-cv-0061-AKB (lm)","429550992","PACER Document","","","","","","","","","","","","","","",""
"416985100","16","2025-02-07","","114","2025-02-07.001","ORDER - Plaintiffs motion (Dkt. 13 ) is GRANTED. Plaintiffs may file a brief in support of their motion for a preliminary injunction, not to exceed thirty-five pages. Signed by Judge Amanda K Brailsford. (caused to be mailed to non Registered Participants at the addresses listed on the Notice of Electronic Filing (NEF) by (lm)","430734104","PACER Document","","","","16","","06303013708","","","","","","","","",""
"416985101","17","2025-02-13","","116","2025-02-13.001","SUMMONS Returned Executed by Penguin Random House LLC. Jan Bennetts served on 2/5/2025, answer due 2/26/2025. (Ferguson, Deborah)","430734105","PACER Document","","","","17","","06303015945","","","","","","","","",""
"416985102","18","2025-02-13","","118","2025-02-13.002","SUMMONS Returned Executed by Penguin Random House LLC. Raul Labrador served on 2/5/2025, answer due 2/26/2025. (Ferguson, Deborah)","430734106","PACER Document","","","","18","","06303015950","","","","","","","","",""
"416985103","19","2025-02-13","","120","2025-02-13.003","SUMMONS Returned Executed by Penguin Random House LLC. Justin Coleman served on 2/5/2025, answer due 2/26/2025. (Ferguson, Deborah)","430734107","PACER Document","","","","19","","06303015953","","","","","","","","",""
"416985104","20","2025-02-13","","122","2025-02-13.004","SUMMONS Returned Executed by Penguin Random House LLC. The Eagle Public Library Board of Trustees served on 2/5/2025, answer due 2/26/2025. (Ferguson, Deborah)","430734108","PACER Document","","","","20","","06303015956","","","","","","","","",""
"416985105","21","2025-02-13","","124","2025-02-13.005","SUMMONS Returned Executed by Penguin Random House LLC. Brian Naugle served on 2/6/2025, answer due 2/27/2025. (Ferguson, Deborah)","430734109","PACER Document","","","","21","","06303015959","","","","","","","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430227624","PACER Document","Preliminary Injunction","","","22","","06303016095","","","","","","","","",""
