Type,Budget,Bill,Status,Description
Enhancement,<i>General Government</i><br>Office of the Governor<br>Commission on the Arts,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Division of Financial Management,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Division of Human Resources,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Military Division,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Office of Drug Policy,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Office of Energy&Mineral Resources,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Office of Information Technology Services,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Office of Species Conservation,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Public Employee Retirement System,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>State Liquor Division,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>STEM Action Center,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Wolf Depredation Control Board,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br>Workforce Development Council,☐,☐,☐
Enhancement,<i>General Government</i><br>Department of Revenue&Taxation<br>Board of Tax Appeals,☐,☐,☐
Enhancement,<i>General Government</i><br>Department of Revenue&Taxation<br>State Tax Commission,☐,☐,☐
Enhancement,<i>General Government</i><br>Department of Administration<br>Capitol Commission,☐,☐,☐
Enhancement,<i>General Government</i><br>Department of Administration,☐,☐,☐
Enhancement,<i>General Government</i><br>Department of Administration<br>Permanent Building Fund,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Public Utilities Commission,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Industrial Commission,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Transportation<br>Contract Construction&Right-of-Way Acquisition,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Transportation<br>Highway Operations,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Transportation<br>Motor Vehicles,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Transportation<br>Transportation Services,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Commission for Libraries,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Commission of Pardons&Parole,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Commission on Hispanic Affairs,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Division of Occupational&Professional Licenses,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Division of Veterans Services,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Office of Administrative Hearings,☐,☐,☐
