title,creator,date,date is approximate,description,location,county,region,features,flight_line,aerial-type,source,identifier,digitization specifications,rights,format,type,latitude,longitude,digital_collection,cd rom call number,publisher digital,language,date digital,date loaded,contributors,date created,date modified,objectid,object_thumb,object_location,reference_url
"SEL135","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL135.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.315263","-115.385671","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1243","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1243_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1243.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1243.html"
"SEL140","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL140.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.266238","-115.397698","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1244","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1244_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1244.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1244.html"
"SEL145","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); End of Road Along Lochsa at Fire Creek; Selway National Forest","Idaho County (Idaho)","End of Road Along Lochsa at Fire Creek","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL145.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.218572","-115.423156","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1245","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1245_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1245.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1245.html"
"Clr2130","Washington National Guard","1929","","Black and white vertical photo taken by the Washington National Guard.","Clearwater County (Idaho); Clearwater National Forest","Clearwater County (Idaho)","","Clearwater National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","29Clr2130.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.689176","-115.535752","Idaho Aerial Photograph Collection","CD-ROM F746.C532 1998 (Disc 1)","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1246","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1246_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1246.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1246.html"
"SEL150","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL150.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.167288","-115.428118","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1247","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1247_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1247.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1247.html"
"SEL235","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL235.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.103525","-115.519","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1248","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1248_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1248.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1248.html"
"SEL240","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL240.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.056422","-115.519102","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1249","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1249_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1249.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1249.html"
"SEL245","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL245.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.009708","-115.517401","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1250","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1250_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1250.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1250.html"
"SEL250","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL250.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","45.969458","-115.528598","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1251","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1251_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1251.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1251.html"
"SEL50","Washington National Guard","1932","","Black and white vertical photo taken by the Washington National Guard.","Idaho County (Idaho); Selway National Forest","Idaho County (Idaho)","","Selway National Forest","","vertical-photo","Partial set of prints are owned by the Wallace Ranger District and by the Supervisor&#39;s Office of the Idaho Panhandle National Forests, Coeur d&#39;Alene, Idaho.","32SEL50.tif","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","46.292979","-115.528871","Idaho Aerial Photograph Collection","CD-ROM F746.V36 1998","University of Idaho Library","eng","2000; 2001; 2011","2010-04","Dennis Baird","2011-05-04","2011-05-04","aerial1252","https://objects.lib.uidaho.edu/aerial/thumbs/aerial1252_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial1252.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial1252.html"
