UNOFFICIAL ELECTION RESULTS
NEZ PERCE
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"GIFFORD 30","United States Representative District 1","Kaylee Peterson","0","0.00%"
"GIFFORD 30","United States Representative District 1","Matt Loesby","0","0.00%"
"GIFFORD 30","United States Representative District 1","Russ Fulcher","0","0.00%"
"GIFFORD 30","State Senator District 6","Julia Parker","0","0.00%"
"GIFFORD 30","State Senator District 6","Dan Foreman","0","0.00%"
"GIFFORD 30","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"GIFFORD 30","State Representative District 6 Seat A","Lori McCann","0","0.00%"
"GIFFORD 30","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"GIFFORD 30","State Representative District 6 Seat B","Brandon Mitchell","0","0.00%"
"GIFFORD 30","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"GIFFORD 30","County Commissioner District 3","Pete Gertonson","0","0.00%"
"GIFFORD 30","County Commissioner District 3","Joe Gish","0","0.00%"
"GIFFORD 30","County Sheriff","Bryce Scrimsher","0","0.00%"
"GIFFORD 30","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"GIFFORD 30","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"GIFFORD 30","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"GIFFORD 30","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"GIFFORD 30","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"GIFFORD 30","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"GIFFORD 30","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LAPWAI 26","United States President","Joel Skousen","0","0.00%"
"LAPWAI 26","United States President","Kamala D. Harris","0","0.00%"
"LAPWAI 26","United States President","Chase Oliver","0","0.00%"
"LAPWAI 26","United States President","Donald J. Trump","0","0.00%"
"LAPWAI 26","United States President","Shiva Ayyadurai","0","0.00%"
"LAPWAI 26","United States President","Claudia De la Cruz","0","0.00%"
"LAPWAI 26","United States President","Robert F Kennedy Jr.","0","0.00%"
"LAPWAI 26","United States President","Jill Stein","0","0.00%"
"LAPWAI 26","United States President","Randall Terry","0","0.00%"
"LAPWAI 26","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LAPWAI 26","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LAPWAI 26","United States Representative District 1","Matt Loesby","0","0.00%"
"LAPWAI 26","United States Representative District 1","Russ Fulcher","0","0.00%"
"LAPWAI 26","State Senator District 6","Julia Parker","0","0.00%"
"LAPWAI 26","State Senator District 6","Dan Foreman","0","0.00%"
"LAPWAI 26","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"LAPWAI 26","State Representative District 6 Seat A","Lori McCann","0","0.00%"
"LAPWAI 26","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"LAPWAI 26","State Representative District 6 Seat B","Brandon Mitchell","0","0.00%"
"LAPWAI 26","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LAPWAI 26","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LAPWAI 26","County Commissioner District 3","Joe Gish","0","0.00%"
"LAPWAI 26","County Sheriff","Bryce Scrimsher","0","0.00%"
"LAPWAI 26","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LAPWAI 26","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LAPWAI 26","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LAPWAI 26","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LAPWAI 26","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LAPWAI 26","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LAPWAI 26","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LELAND 27","United States President","Joel Skousen","0","0.00%"
"LELAND 27","United States President","Kamala D. Harris","0","0.00%"
"LELAND 27","United States President","Chase Oliver","0","0.00%"
"LELAND 27","United States President","Donald J. Trump","0","0.00%"
"LELAND 27","United States President","Shiva Ayyadurai","0","0.00%"
"LELAND 27","United States President","Claudia De la Cruz","0","0.00%"
"LELAND 27","United States President","Robert F Kennedy Jr.","0","0.00%"
"LELAND 27","United States President","Jill Stein","0","0.00%"
"LELAND 27","United States President","Randall Terry","0","0.00%"
"LELAND 27","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LELAND 27","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LELAND 27","United States Representative District 1","Matt Loesby","0","0.00%"
"LELAND 27","United States Representative District 1","Russ Fulcher","0","0.00%"
"LELAND 27","State Senator District 6","Julia Parker","0","0.00%"
"LELAND 27","State Senator District 6","Dan Foreman","0","0.00%"
"LELAND 27","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"LELAND 27","State Representative District 6 Seat A","Lori McCann","0","0.00%"
"LELAND 27","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"LELAND 27","State Representative District 6 Seat B","Brandon Mitchell","0","0.00%"
"LELAND 27","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LELAND 27","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LELAND 27","County Commissioner District 3","Joe Gish","0","0.00%"
"LELAND 27","County Sheriff","Bryce Scrimsher","0","0.00%"
"LELAND 27","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LELAND 27","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LELAND 27","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LELAND 27","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LELAND 27","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LELAND 27","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LELAND 27","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LELAND 27","Kendrick Joint School District 283 Levy (Combine Results with Latah and Clearwater Counties)","IN FAVOR OF","0","0.00%"
"LELAND 27","Kendrick Joint School District 283 Levy (Combine Results with Latah and Clearwater Counties)","AGAINST","0","0.00%"
"LENORE 28","United States President","Joel Skousen","0","0.00%"
"LENORE 28","United States President","Kamala D. Harris","0","0.00%"
"LENORE 28","United States President","Chase Oliver","0","0.00%"
"LENORE 28","United States President","Donald J. Trump","0","0.00%"
"LENORE 28","United States President","Shiva Ayyadurai","0","0.00%"
"LENORE 28","United States President","Claudia De la Cruz","0","0.00%"
"LENORE 28","United States President","Robert F Kennedy Jr.","0","0.00%"
"LENORE 28","United States President","Jill Stein","0","0.00%"
"LENORE 28","United States President","Randall Terry","0","0.00%"
"LENORE 28","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LENORE 28","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LENORE 28","United States Representative District 1","Matt Loesby","0","0.00%"
"LENORE 28","United States Representative District 1","Russ Fulcher","0","0.00%"
"LENORE 28","State Senator District 6","Julia Parker","0","0.00%"
"LENORE 28","State Senator District 6","Dan Foreman","0","0.00%"
"LENORE 28","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"LENORE 28","State Representative District 6 Seat A","Lori McCann","0","0.00%"
"LENORE 28","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"LENORE 28","State Representative District 6 Seat B","Brandon Mitchell","0","0.00%"
"LENORE 28","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LENORE 28","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LENORE 28","County Commissioner District 3","Joe Gish","0","0.00%"
"LENORE 28","County Sheriff","Bryce Scrimsher","0","0.00%"
"LENORE 28","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LENORE 28","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LENORE 28","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LENORE 28","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LENORE 28","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LENORE 28","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LENORE 28","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 1","United States President","Joel Skousen","0","0.00%"
"LEWISTON 1","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 1","United States President","Chase Oliver","0","0.00%"
"LEWISTON 1","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 1","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 1","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 1","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 1","United States President","Jill Stein","0","0.00%"
"LEWISTON 1","United States President","Randall Terry","0","0.00%"
"LEWISTON 1","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 1","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 1","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 1","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 1","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 1","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 1","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 1","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 1","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 1","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 1","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 1","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 1","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 1","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 1","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 1","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 1","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 1","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 1","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 1","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 1","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 10","United States President","Joel Skousen","0","0.00%"
"LEWISTON 10","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 10","United States President","Chase Oliver","0","0.00%"
"LEWISTON 10","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 10","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 10","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 10","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 10","United States President","Jill Stein","0","0.00%"
"LEWISTON 10","United States President","Randall Terry","0","0.00%"
"LEWISTON 10","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 10","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 10","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 10","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 10","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 10","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 10","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 10","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 10","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 10","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 10","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 10","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 10","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 10","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 10","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 10","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 10","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 10","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 10","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 10","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 10","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 11","United States President","Joel Skousen","0","29.06%"
"LEWISTON 11","United States President","Kamala D. Harris","82","29.06%"
"LEWISTON 11","United States President","Chase Oliver","0","29.06%"
"LEWISTON 11","United States President","Donald J. Trump","171","29.06%"
"LEWISTON 11","United States President","Shiva Ayyadurai","0","29.06%"
"LEWISTON 11","United States President","Claudia De la Cruz","0","29.06%"
"LEWISTON 11","United States President","Robert F Kennedy Jr.","3","29.06%"
"LEWISTON 11","United States President","Jill Stein","2","29.06%"
"LEWISTON 11","United States President","Randall Terry","0","29.06%"
"LEWISTON 11","United States Representative District 1","Brendan J. Gomez","9","29.06%"
"LEWISTON 11","United States Representative District 1","Kaylee Peterson","79","29.06%"
"LEWISTON 11","United States Representative District 1","Matt Loesby","5","29.06%"
"LEWISTON 11","United States Representative District 1","Russ Fulcher","164","29.06%"
"LEWISTON 11","State Senator District 7","Bill Farmer","79","29.06%"
"LEWISTON 11","State Senator District 7","Cindy Carlson","178","29.06%"
"LEWISTON 11","State Representative District 7 Seat A","Vickie Nostrant","83","29.06%"
"LEWISTON 11","State Representative District 7 Seat A","Kyle N. Harris","172","29.06%"
"LEWISTON 11","State Representative District 7 Seat B","Dustin Hardisty","76","29.06%"
"LEWISTON 11","State Representative District 7 Seat B","Charlie Shepherd","180","29.06%"
"LEWISTON 11","County Commissioner District 1","Hannah Liedkie","237","29.06%"
"LEWISTON 11","County Commissioner District 3","Pete Gertonson","96","29.06%"
"LEWISTON 11","County Commissioner District 3","Joe Gish","161","29.06%"
"LEWISTON 11","County Sheriff","Bryce Scrimsher","242","29.06%"
"LEWISTON 11","County Prosecuting Attorney","Justin J. Coleman","230","29.06%"
"LEWISTON 11","Retain Magistrate Judge Victoria Olds","YES","220","29.06%"
"LEWISTON 11","Retain Magistrate Judge Victoria Olds","NO","24","29.06%"
"LEWISTON 11","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","159","29.06%"
"LEWISTON 11","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","103","29.06%"
