Budget,Program,Bill,Status,Description
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Child Welfare</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Div. of Medicaid</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Div. of Welfare</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Independent Councils</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Indirect Support Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Licensing & Certification</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Mental Health Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Psychiatric Hospitalization</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Public Health Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Service Integration</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Services for the Developmentally Disabled</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Substance Abuse Treatment & Prevention</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Judicial Branch</i><br><b>Court Operations</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Judicial Branch</i><br><b>Guardian Ad Litem Program</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Judicial Branch</i><br><b>Judicial Council</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Legislative Branch</i><br><b>Legislative Services Office</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>The Legislative Services Office is participating in the
3% ongoing reductions in FY 2026 and FY 2027, by
reducing Operating Expenditures and Personnel Costs.
The reduction in Operating Expenditures comes from
limiting or eliminating in-state and out-of-state
travel, lodging, registrations, and subscriptions, and
by possibly deferring some hardware replacements.
Personnel Cost savings are being achieved by delaying
hiring of vacant positions and hiring fewer session staff.
<br></i>The reductions to achieve an additional 1% or 2% in
either FY 2026 or FY 2027 will be primarily from
Personnel Costs. Options include: 1. Keeping positions
vacant for as long as practical, 2. Rehiring at entry
level, or 3. Furloughing staff (each 1% reduction is
equal to three days of unpaid leave for all staff)."
<b>Reduction</b>,<i>Legislative Branch</i><br><b>Legislative Technology</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Legislative Branch</i><br><b>Legislature</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Legislative Branch</i><br><b>Office of Performance Evaluations</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>OPE proposes reductions
<br>of an additional $11, 300 in
<br>personnel spending authority
<br>for the 1% reduction scenario…
<br>OPE experienced a departure of
<br>a Senior Evaluator in December.
<br>We are accruing salary savings
<br>while we are hiring a replacement,
<br>which we anticipate doing by
<br>March 1st. . . With these salary
<br>savings, we will not need to
<br>reduce staff or impose furloughs
<br>and the reductions would
<br>not affect OPE’s ability to
<br>complete program evaluations
<br>for the Legislature during
<br></i>the 2026 Legislative Session."
<b>Reduction</b>,<i>Natural Resources</i><br><b>Dept. of Environmental Quality</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Natural Resources</i><br><b>Dept. of Fish & Game</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Natural Resources</i><br><b>Dept. of Parks & Recreation</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>Budget reductions will cut allocations to pay for
utilities, cleaning, stocking, maintenance of
facilities like comfort stations, visitor centers, dump
stations, road maintenance, and waste removal. IDPR’s
top priority is to maintain both full-time and seasonal
staffing levels to provide high value recreation
facilities statewide. Providing clean, well maintained,
and safe facilities for the public is labor intensive.
IDPR is continuing to recover from the 80% reduction in
General Fund from FY 2011 all while addressing the
sustained increase in visitation due to COVID. The goal
is not to close any park facilities indefinitely or
reduce hours of operations, unfortunately further cuts
could result in that becoming a reality. . .
<br></i>Further budget reductions for FY 2026 for the Idaho
Department of Parks and Recreation would be disruptive
to department operations. If this legislation was
passed there would be only a few months to implement a
plan. As of January 27, 2026, only 14% of IDPR’s
General Fund OE remains unspent. Budget reductions
would disrupt preparations for the busy camping and
recreation season ahead."
<b>Reduction</b>,<i>Natural Resources</i><br><b>Dept. of Water Resources</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>
<br></i>IDWR will cancel the order placed with the auto dealer
for three replacement field vehicles. Foregoing these
replacements increases the risk of employees being
stranded in remote areas during field operations and
elevates employee safety risks associated with
operating older, less reliable vehicles. IDWR does not
request vehicle replacement until units have exceeded
100, 000 miles or are more than fifteen years old. At
that stage, vehicles are significantly more prone to
age- and mileage-related mechanical failures. Continued
use of vehicles scheduled for replacement increases the
likelihood of breakdowns in remote areas with limited
emergency response options. IDWR will not contract with
MCCI to develop an online beneficial use form. By
foregoing application development, the agency will
continue manually entering data into the workflow
process, scanning documents, and storing paper
documents. Manual data entry takes time and increases
the chance for errors. When staff are spending time
entering data, they have less time for application
evaluation and other water right permitting and licensing tasks.
<br>IDWR will reduce its replacement of portable flowmeters
for closed conduits from three to two. Not replacing
flowmeters consistent with our six-year rotation
decreases their reliability, decreases their accuracy
and precision, and may result in not enough usable
meters for staff to efficiently use for necessary water
allocation, water right adjudication, and water
administration field work."
<b>Reduction</b>,<i>Natural Resources</i><br>Land Board<br><b>Dept. of Lands</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>In the event of further reductions to our general fund
appropriation, our wildfire suppression readiness could
be significantly strained, particularly during a
widespread, intense fire season across the West. While
in light fire seasons, these impacts may be less
visible, the risk to readiness and the potential need
for greater future expenditures remain. Shifting Fire
GF personnel to Fire Dedicated would, without an
assessment increase via HB511, place additional impact
on an already stressed fire dedicated fund. Seasonal
firefighters are an essential part of the fire
suppression effort as staff on fire engines and on fire
crews. Those engines and crews are essential to
providing effective initial attack on about 6. 9
million acres of IDL protection and to meeting the
Department's goal of suppressing 95% of fires at 10
acres or less. In the absence of an as-yet unidentified
solution, fewer seasonal firefighters would be
available to the IDL fire protective districts during
the 2026 fire season and/or the duration of their
seasonal employment would be reduced. To maintain the
numbers of seasonal hires, the Department would have to
utilize fire dedicated funds, potentially accelerating
the decline of the fund balance in that account.
Alternatively, the Department would look for
opportunities to use federal funds, though that
specific solution has not yet been identified and may
not exist. Any alternative solution simply takes from
one need to address another. Should fire initial attack
effectiveness decrease due to reduced resource
availability, the potential exists for larger and more
expensive fires, which can quickly expend more from the
general fund than the cost of appropriate staffing for
effective initial attack."
<b>Reduction</b>,<i>Natural Resources</i><br>Land Board<br><b>Endowment Fund Investment Board</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br><b>Dept. of Juvenile Corrections</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br><b>Idaho State Police</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Dept. of Correction<br><b>Community Corrections</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Dept. of Correction<br><b>Community-Based SUDS Treatment</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Dept. of Correction<br><b>County & Out-of-State Placement</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Dept. of Correction<br><b>Management Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Dept. of Correction<br><b>Medical Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Dept. of Correction<br><b>State Prisons</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Idaho State Police<br><b>Brand Inspection</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Idaho State Police<br><b>POST Academy</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Safety</i><br>Idaho State Police<br><b>Racing Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Administrators</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Central Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Children's Programs</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Facilities</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Idaho Digital Learning Academy</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Operations</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Services for the Deaf & the Blind</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Student Support</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Public Schools</i><br><b>Teachers</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Agricultural Research & Extension Service</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Career Technical Education</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Charter School Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>College & Universities</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Community Colleges</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Dept. of Education</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Health Education Programs</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Idaho Public Television</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Office of the State Board of Education</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Special Programs</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>State Board of Education</i><br><b>Vocational Rehabilitation</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Constitutional Officers</i><br><b>Attorney General</b>,☐,—,"<b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br>
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Additional cuts of this magnitude will require
furloughs or workforce reductions. That means less
capacity to handle the active litigation defending
state laws, fewer attorneys available to recover funds
for taxpayers, and reduced staffing for critical
programs like ICAC. Budget reductions will potentially
result in lost work days, greatly disadvantaging the
Office, and consequently negatively impacting Idaho
citizens. An additional 2% reduction, equivalent to an
overall 5% decrease, of $1, 629, 600, would mean 14
furlough days impacting our 227 FTP."
<i>Maintenance</i>,<i>Constitutional Officers</i><br><b>Governor</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>2% - $65K Revert Contingency amount of Constituent
Services Agreement (would risk not finishing the
project if there are needed fixes/enhancements/changes
that need to be made) The Governor’s office has already
reduced their personnel costs in the current budget
recommendation. An additional 1% or 2% decrease would
require the Governor’s office to lay off an existing staff member."
<i>Maintenance</i>,<i>Constitutional Officers</i><br><b>Lieutenant Governor</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>The imposition of the additional 1% and 2% holdbacks
would have a significant impact on this agency due to
its extremely small size and limited operating budget.
As a result, there are no excess funds or non-essential
expenditures that could absorb these reductions. The
only viable source to meet the holdback requirement
would be personnel funding, any reduction in personnel
funding would necessitate furloughs. The agency does
not have the staffing redundancy necessary to
redistribute duties without compromising performance or legal compliance."
<i>Maintenance</i>,<i>Constitutional Officers</i><br><b>Secretary of State</b>,☐,—,"<b></b><i>2/6: In my first budget as
<br>Secretary of State, the
<br>Legislature appropriated
<br>$10 million in one-time
<br>funding to modernize
<br>Idaho’s election technology.
<br>Through a careful review
<br>of how these systems
<br>are hosted and managed,
<br>we identified an
<br>opportunity to reduce
<br>long-term costs by
<br>transitioning hosting
<br>responsibilities to vendors.
<br>As a result, we have
<br>identified a total of
<br><b>$850, 000 in one-time,
<br></b>FY26 funds we can revert
<br>back from the original
<br>appropriation while fully
<br>funding these systems
<br>for the originally proposed
<br>five years. This represents
<br>approximately 15 percent
<br>of the Secretary of State’s
<br>base budget and exceeds
<br>the combined FY26 and
<br>FY27 dollar value of the
<br>requested reductions,
<br>allowing us to contribute
<br>meaningfully to addressing
<br>the budget shortfall without
<br></i>creating operational risk."
<i>Maintenance</i>,<i>Constitutional Officers</i><br><b>State Controller</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Local Government Reporting & Transparency initiatives;
State Annual Comprehensive Financial Report data
compilation and reporting application; Statewide budget
development application support; Luma agency support services contract"
<i>Maintenance</i>,<i>Constitutional Officers</i><br><b>State Treasurer</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Constitutional Officers</i><br>State Treasurer<br><b>Millennium Fund</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br><b>Dept. of Agriculture</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br><b>Dept. of Commerce</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>To address the requested reductions in FY2027, the
Department anticipates reducing expenses associated
with Idaho’s international trade offices by
renegotiating annual contracts. These offices provide
essential support to Idaho businesses by assisting with
export readiness, navigating complex international
markets, facilitating business matchmaking, and
promoting Idaho as a destination for investment.
Reducing funding in this area will likely result in
diminished support across multiple global markets,
negatively affecting Idaho companies, particularly
small and first-time exporters that depend on these
services to compete and grow internationally."
<i>Maintenance</i>,<i>Economic Development</i><br><b>Dept. of Finance</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br><b>Dept. of Insurance</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br><b>Dept. of Labor</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Our dedicated fund balances are utilized to supplement
federal program dollars to ensure minimum levels of
service delivery. The countercyclical nature of our
programs means that when the economy is thriving, our
federal grant funds for programs like Unemployment
Insurance Administration, Employment Services, and
other workforce programs may be reduced due to drops in
workloads. In order to maintain continuity of service,
the department must maintain baseline staffing levels
to ensure we are prepared for a downturn in the economy."
<i>Maintenance</i>,<i>Economic Development</i><br><b>Industrial Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Since our General Fund appropriation can only be used
for payment of adult sexual assault forensic
examinations, and cannot be used to cover Trustee and
Benefit payments for other services, our risks of
exceeding the General Fund appropriation are limited.
In past years, the General Fund appropriation has been
sufficient to cover all costs for these examinations,
with the most recent reversion for FY2025 totaling $32,
800. Should the General Fund appropriation be
exhausted, the costs for these examinations can be
shifted to our Dedicated and Federal Funds."
<i>Maintenance</i>,<i>Economic Development</i><br><b>Public Utilities Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Agriculture<br><b>Soil & Water Conservation Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>SWCC and IDWR have been working to create a plan to
merge the two agencies. If the plan moves forward, the
proposal includes a reduction of one FTP and the
savings that will be gained by reducing redundancy in
administration and fiscal services. The total projected
reduction is expected to be about $100, 000 annually.
The agency used $47, 900 of this savings as part of the
Governor's 3% Holdback so the remaining amount is $52, 100."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Commission for Libraries</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>$99, 400 would be achieved by eliminating 1-2 Libraries
Linking Idaho (LiLI) database contract(s), resulting in
an estimated savings of $50, 000 - $100, 000. This
action would directly impact Idahoans by reducing
access to statewide online research and information
resources used by students, job seekers, educators, and
the general  public. The specific contract selected for
elimination would be based on usage data, cost per use,
and contract terms to identify the most cost-effective
option while minimizing service impacts."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Commission of Pardons & Parole</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Additional cuts to the COPP budget will require
furloughs and/or a reduction in force because the
Agency has already cut the operating budget as far as
it can. . . An additional 2% decrease ($87, 100) in
COPP’s budget will require the Agency to cut a PHI
position. As a result ofthe position cut, the State
will incurroughly $620, 500 in incarceration costs. . .
Staff furloughs and/or cutting a PHI position will
result in low agency morale and further exacerbate an
already difficult recruiting and retention environment."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Commission on Hispanic Affairs</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>The impact of these budget reductions will requre a
more deliberate and strategic effort to increase the
amount of funds raised for our Dedicated Fund."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Div. of Occupational & Professional Licenses</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Div. of Veterans Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Cemetery Boise caretaker position. . . was filled on
1/5/26 and is necessary going forward due to the
increase of interments at the Veterans Cemetery in
Boise. This reduction will not have a negative impact
on the Veterans Cemetery Boise FY 2026 operation unless
funding is removed on an permanent basis."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Office of Administrative Hearings</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>With the prior 3% holdback’s impact on OAH’s operating
expense budget, OAH is down to current utilization of
just a single independent contract hearing officer, and
does not have the current operating expense bandwidth
to assign anything but minor matters to that one
independent contract hearing officer. A further
reduction of 1% or 2% will all but eliminate OAH’s
ability to utilize any independent contract hearing
officers, creating significant conflict and caseload
surge issues as circumstances may potentially arise –
potentially impairing ALJs’ ability to timely hear
contested cases, as well as delay the timely issuance
of a decision."
