Budget,Program,Bill,Status,Description
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Commerce</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Department plans to reduce funding for community
infrastructure grants administered. These programs have
been especially effective in supporting rural
communities by funding critical infrastructure projects
that enable economic development. Reductions in these
programs will have a direct and disproportionate impact
on rural Idaho, where communities often rely on this
funding to attract private investment, create jobs, and
expand local tax bases."
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Finance</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Insurance</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Labor</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Currently, the department has sufficient dedicated fund
spending authority and fund balances to absorb an
additional 1% reduction in state fiscal year 2026.
However, long term the department's finite dedicated
fund spending authority and drains on the fund balance
over time may limit service provision and require
decisions regarding program delivery for the programs
that rely on dedicated funds to operate (including the
Wage and Hour program)."
<b>Reduction</b>,<i>Economic Development</i><br><b>Industrial Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Since our General Fund appropriation can only be used
for payment of adult sexual assault forensic
examinations, and cannot be used to cover Trustee and
Benefit payments for other services, our risks of
exceeding the General Fund appropriation are limited.
In past years, the General Fund appropriation has been
sufficient to cover all costs for these examinations,
with the most recent reversion for FY2025 totaling $32,
800. Should the General Fund appropriation be
exhausted, the costs for these examinations can be
shifted to our Dedicated and Federal Funds."
<b>Reduction</b>,<i>Economic Development</i><br><b>Public Utilities Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Agriculture<br><b>Soil & Water Conservation Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>SWCC and IDWR have been working to create a plan to
merge the two agencies. If the plan moves forward, the
proposal includes a reduction of one FTP and the
savings that will be gained by reducing redundancy in
administration and fiscal services. The total projected
reduction is expected to be about $100, 000 annually.
The agency used $47, 900 of this savings as part of the
Governor's 3% Holdback so the remaining amount is $52, 100."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Commission for Libraries</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>The 1% reduction of $49, 700 would be achieved through
one-time salary savings:
<br>1. Library Consultant position held vacant through the
end of FY 2026
<br>a. The position was vacated in December 2025 with
salary savings totaling $47, 200 by June 30, 2026. This
is a critical position that must be filled in FY 2027.
Extending the vacancy by an additional six months will
reduce professional consulting support for libraries,
negatively affecting the programs and services they can
provide to their communities.
<br>2. State Librarian salary savings
<br></i>a. The long-serving State Librarian retired in December
2025. The newly hired State Librarian’s lower salary
results in approximately $6, 000 salary savings."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Commission of Pardons & Parole</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Additional cuts to the COPP budget will require
furloughs and/or a reduction in force because the
Agency has already cut the operating budget as far as
it can. . .  An additional 1% decrease ($43, 600) to
COPP’s budget will require COPP to furlough all staff
for five days. As a result of the furlough, the State
will incur $532, 800 in incarceration costs. . . If
COPP staff are furloughed for five days, there will be
102 Parole Hearing Investigator (PHI) reports/hearings
that will not be completed in that time period. . .
There will be 18 Violation Hearings that will not be
prepped/completed during the five days of furlough.
Delays in processing parole violations puts the State
at risk of litigation."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Commission on Hispanic Affairs</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>The impact of these budget reductions will requre a
more deliberate and strategic effort to increase the
amount of funds raised for our Dedicated Fund."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Div. of Occupational & Professional Licenses</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Div. of Veterans Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Salary savings from vacant Cemetery Boise caretaker
position # 17800 from 7/1/25 through 1/4/26."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Office of Administrative Hearings</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>With the prior 3% holdback’s impact on OAH’s operating
expense budget, OAH is down to current utilization of
just a single independent contract hearing officer, and
does not have the current operating expense bandwidth
to assign anything but minor matters to that one
independent contract hearing officer. A further
reduction of 1% or 2% will all but eliminate OAH’s
ability to utilize any independent contract hearing
officers, creating significant conflict and caseload
surge issues as circumstances may potentially arise –
potentially impairing ALJs’ ability to timely hear
contested cases, as well as delay the timely issuance
of a decision."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Office of Health & Social Services Ombudsman</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>The reduction of the operating budget will have to come
out of funds that otherwise could be used to visit
facilities in person and speak with staff and with
youth who have filed complaints. It is important to
meet face to face with the youth versus digitally
because it is hard to ascertain the environment and
sometimes the youth are hesitant to visit over
technology. In addition, sometimes, the technology to
do a virtual visit is not available to youth. Community
education can be done virtually in many instances but
doing education at conferences/summits/stakeholder
meetings that don't offer this option will be difficult."
